Empresas,Ativos,Column3
ClearSale,CLSA3,
Livetech,LVTC3,
G2D Investments,G2DI33,
Infracommerce,IFCM3,
Alphabet,GOGL35,
Locaweb,LWSA3,
Totvs,TOTS3F,TOTS3
Xerox,XRXB34F,XRXB34
Qualcomm,QCOM34F,QCOM34
Oracle,ORCL34F,ORCL34
Microsoft,MSFT34F,MSFT34
IBM,IBMB34F,IBMB34
Intel,ITLC34F,ITLC34
HP Company,HPQB34F,HPQB34
eBay,EBAY34F,
Cisco,CSCO34F,CSCO34
Att Inc,ATTB34F,
Apple,AAPL34F,AAPL34
Linx,LINX3F,LINX3
Positivo Inf,POSI3F,POSI3
eBay,EBAY34,
