Empresas,Ativos,Column3,Column4,Column5
Brisanet,BRIT3,,,
Unifique,FIQE3,,,
Desktop,DESK3,,,
Verizon,VERZ34F,VERZ34,,
OI,OIBR4F,OIBR4,OIBR,
Tim Participações,TIMS3F,TIMS3,,
Telefônica Brasil S.A,VIVT3F,VIVT3,,
Telebras,TELB4F,TELB4,TELB3F,TELB3
Att Inc,ATTB34,,,
